id,lang,prefix,total,good,views,edits,users,admins,ts,loclang,images,loclanglink,activeusers,version,si_mainpage,si_base,si_sitename,si_generator,si_phpversion,si_phpsapi,si_dbtype,si_dbversion,si_rev,si_case,si_rights,si_lang,si_fallback8bitEncoding,si_writeapi,si_timezone,si_timeoffset,si_articlepath,si_scriptpath,si_script,si_variantarticlepath,si_server,si_wikiid,si_time,method,http
270,Lower Sorbian,dsb,9846,2979,0,137954,9886,2,2015-11-02 00:03:33,Dolnoserbski,18,Dolnoserbšćina,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
160,Divehi,dv,11184,2978,0,125394,14264,1,2015-11-02 00:02:03,ދިވެހިބަސް,1053,ދިވެހި,14,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
229,Ligurian,lij,12332,2953,0,162393,6592,0,2015-11-02 00:04:45,Líguru,139,Lengoa zeneize,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
257,Zamboanga Chavacano,cbk-zam,4931,2856,0,107116,8166,1,2015-11-02 00:05:24,Chavacano de Zamboanga,0,Chavacano,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
231,Ripuarian,ksh,9864,2778,0,2124189,13213,2,2015-11-02 00:04:49,Ripoarisch,111,Ripoarėsch (Shprooch),18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
272,Erzya,myv,6322,2765,0,83535,5412,4,2015-11-02 00:03:27,Эрзянь (Erzjanj Kelj),19,Эрзянь кель,10,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
295,Gagauz,gag,6048,2747,0,64488,5560,1,2015-11-02 00:04:09,Gagauz,3,,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
273,Extremaduran,ext,5975,2746,0,111824,8847,0,2015-11-02 00:03:25,Estremeñu,3,Luenga estremeña,29,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
286,Mirandese,mwl,6852,2724,0,88306,6290,2,2015-11-02 00:04:22,Mirandés,2,,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
29,Anglo-Saxon,ang,14048,2704,0,188962,73587,1,2015-11-02 00:07:05,Englisc,384,Englisc_sprǣc,40,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
301,Lezgian,lez,6419,2690,,58032,4227,5,2015-11-02 00:03:59,ÐÐµÐ·Ð³Ð¸ ÑÐÐ°Ð»,110,,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
302,Northern Sotho,nso,4023,2687,,21672,2242,1,2015-11-02 00:10:01,Sesotho sa Leboa,0,,16,n/a or error,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
287,Acehnese,ace,8014,2599,0,96998,11730,1,2015-11-02 00:04:24,Bahsa Acèh,115,Ôn Keuë,30,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
208,Uyghur,ug,10342,2562,0,145254,10531,1,2015-11-02 00:10:07,ئۇيغۇر تىلى,648,Uyghur_tili,20,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
192,Pali,pi,4322,2514,0,101598,3478,0,2015-11-02 00:01:19,पाऴि,1,पाली भाषा,6,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
251,Pangasinan,pag,7373,2512,0,61079,4085,0,2015-11-02 00:05:12,Pangasinan,44,Salitan_Pangasinan,7,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
265,Kabyle,kab,7876,2501,0,64058,5412,0,2015-11-02 00:03:40,Taqbaylit,32,Taqbaylit,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
187,Navajo,nv,13074,2461,0,154078,8150,2,2015-11-02 00:02:39,Diné bizaad,329,Diné bizaad,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
133,Shona,sn,6029,2377,0,45246,5710,0,2015-11-02 00:08:24,chiShona,3,,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
234,Franco-Provençal/Arpitan,frp,5473,2362,0,190271,7695,2,2015-11-02 00:04:28,Arpitan,33,Arpitan,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
126,Lingala,ln,6810,2079,0,112771,5936,2,2015-11-02 00:07:32,Lingala,36,Lingála,14,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
146,Avar,av,8347,2071,0,61325,6449,1,2015-11-02 00:08:20,Авар,52,МагIарул мацI,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
296,Palatinate German,pfl,4673,2036,0,57126,4960,6,2015-11-02 00:04:07,Pfälzisch,57,,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
166,Hawaiian,haw,4702,2032,0,71115,7376,0,2015-11-02 00:01:49,Hawai`i,1,‘Ōlelo_Hawai‘i,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
237,Kalmyk,xal,9402,2018,0,79355,5387,2,2015-11-02 00:04:34,Хальмг,6,Хальмг_келн,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
289,Karachay-Balkar,krc,13203,2003,0,107893,5049,1,2015-11-02 00:02:37,Къарачай-Малкъар (Qarachay-Malqar),114,,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
277,Karakalpak,kaa,4430,1798,0,42375,5335,1,2015-11-02 00:03:14,Qaraqalpaqsha,3,Qaraqalpaq tili,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
110,Kinyarwanda,rw,5006,1784,0,77364,5458,0,2015-11-02 00:08:47,Ikinyarwanda,0,Kinyarwanda,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
232,Pennsylvania German,pdc,5432,1755,0,105577,16911,1,2015-11-02 00:04:51,Deitsch,162,Pennsilfaanisch_Deitsch,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
204,Tongan,to,6094,1672,0,34394,4608,1,2015-11-02 00:01:26,faka Tonga,446,Lea_fakatonga,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
125,Greenlandic,kl,4730,1617,0,71771,6894,2,2015-11-02 00:07:30,Kalaallisut,0,Kalaallisut,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
145,Aramaic,arc,6354,1601,0,91511,11017,3,2015-11-02 00:08:18,ܐܪܡܝܐ,65,ܠܫܢܐ ܐܪܡܝܐ,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
250,Novial,nov,4244,1599,0,184487,5629,2,2015-11-02 00:05:27,Novial,9,Novial,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
299,Kabardian Circassian,kbd,6204,1539,,40791,4288,1,2015-11-02 00:03:54,Адыгэбзэ (Adighabze),20,,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
306,Maithili,mai,6547,1530,,23524,1337,1,2015-11-02 00:00:58,मैथिली,16,,22,,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
307,Gova Konknni,gom,5680,1483,,100395,795,1,2015-11-02 00:10:21,गोवा कोंकणी,0,,23,,,,,,,,,,,,,,,,,,,,,,,,,8,200,
248,Buryat (Russia),bxr,5906,1441,0,44596,6590,1,2015-11-02 00:05:41,Буряад,32,,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
182,Lao,lo,7224,1415,0,49499,7220,1,2015-11-02 00:02:51,ລາວ,25,ພາສາລາວ,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
292,Banjar,bjn,9992,1404,0,58080,6021,2,2015-11-02 00:03:50,Bahasa Banjar,62,,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
123,Hausa,ha,3285,1354,0,32957,5217,0,2015-11-02 00:07:55,هَوُسَ,2,Hausa,17,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
236,Tetum,tet,3255,1329,0,59952,4568,1,2015-11-02 00:04:32,Tetun,1,Lia-tetun,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
238,Papiamentu,pap,3742,1294,0,74679,6058,1,2015-11-02 00:04:36,Papiamentu,5,Papiamentu,14,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
84,Tok Pisin,tpi,6171,1279,0,80663,6435,0,2015-11-02 00:09:08,Tok Pisin,4,Tok_Pisin,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
79,Nauruan,na,4934,1249,1,77909,5330,1,2015-11-02 00:08:58,dorerin Naoero,1,Dorerin Naoero,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
305,Tuvan,tyv,2728,1245,,16843,2373,0,2015-11-02 00:00:54,тыва дыл,22,,16,,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
246,Lak,lbe,9215,1208,0,42099,4721,0,2015-11-02 00:05:01,Лакку,3,Лакку маз,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
173,Lojban,jbo,6201,1191,0,110875,7989,2,2015-11-02 00:03:02,Lojban,15,lojban,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
195,Aromanian,roa-rup,5501,1181,0,255993,8291,2,2015-11-02 00:01:05,Armãneashce,501,Limba_armãneascã,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
206,Tahitian,ty,3735,1169,0,49672,4092,0,2015-11-02 00:01:34,Reo Mā`ohi,1,Reo_Tahiti,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
276,Moksha,mdf,4104,1136,0,48539,4562,2,2015-11-02 00:03:12,Мокшень (Mokshanj Kälj),77,Мокшень кяль,7,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
213,Zhuang,za,2578,1065,0,37833,4899,0,2015-11-02 00:01:28,Cuengh,0,Sawcuengh,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
169,Igbo,ig,5469,1043,0,59132,5919,1,2015-11-02 00:02:30,Igbo,3,Asusu Igbo,16,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
140,Wolof,wo,5576,1037,0,100636,7967,2,2015-11-02 00:08:37,Wolof,71,Wolof,22,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
280,Sranan,srn,2543,1002,0,39251,3687,0,2015-11-02 00:03:21,Sranantongo,0,,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
226,Kongo,kg,2317,906,0,41543,4969,1,2015-11-02 00:01:32,KiKongo,3,Kikongo/Kituba,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
113,Abkhazian,ab,4424,826,0,43323,9135,0,2015-11-02 00:08:52,Аҧсуа,1,Аҧсуа бызшәа,20,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
298,Latgalian,ltg,2565,775,,31794,3181,0,2015-11-02 00:03:52,Latgaļu,26,,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
143,Zulu,zu,3886,696,0,38186,7912,0,2015-11-02 00:08:14,isiZulu,1,IsiZulu,21,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
189,Oromo,om,3672,677,0,24592,4067,0,2015-11-02 00:01:55,Oromoo,0,Afaan Oromoo,10,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
179,Luganda,lg,2527,655,0,20630,3469,0,2015-11-02 00:02:45,Luganda,0,,15,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
239,Romani,rmy,2478,582,0,48924,9505,0,2015-11-02 00:04:38,romani - रोमानी,1,Romani chib,14,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
157,Cheyenne,chy,1979,578,0,21274,5537,0,2015-11-02 00:02:24,Tsetsêhestâhese,0,,10,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
259,Old Church Slavonic,cu,4126,568,0,70759,13362,1,2015-11-02 00:05:06,Словѣньскъ,3,Словѣ́ньскъ ѩꙁꙑ́къ,19,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
139,Twi,tw,1687,553,0,17482,5787,0,2015-11-02 00:08:35,Twi,0,Twi,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
137,Tswana,tn,2243,502,0,21084,4386,1,2015-11-02 00:08:31,Setswana,1,Setswana,5,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
156,Cherokee,chr,3817,487,0,34543,9411,0,2015-11-02 00:02:22,ᏣᎳᎩ,1,ᏣᎳᎩ ᎧᏬᏂᎯᏍᏗ,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
148,Bislama,bi,1865,467,0,38106,5500,0,2015-11-02 00:08:08,Bislama,1,Bislama,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
193,Norfolk,pih,2280,466,0,40620,5123,0,2015-11-02 00:01:00,Norfuk,2,Norfuk,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
98,Samoan,sm,2958,422,0,32774,4049,0,2015-11-02 00:09:54,Gagana Samoa,1,Gagana_fa'a_Sāmoa,10,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
141,Xhosa,xh,2300,417,1,28296,5128,0,2015-11-02 00:08:10,isiXhosa,0,IsiXhosa,18,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
134,Swati,ss,1866,412,0,37137,4061,2,2015-11-02 00:08:26,SiSwati,6,SiSwati,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
164,Gothic,got,3875,406,0,34155,9385,2,2015-11-02 00:02:12,𐌲𐌿𐍄𐌹𐍃𐌺,15,𐌲𐌿𐍄𐌰𐍂𐌰𐌶𐌳𐌰,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
127,Moldovan,mo,2443,394,0,10249,2157,0,2015-11-02 00:07:34,Молдовеняскэ,31,Лимба_молдовеняскэ,1,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
194,Kirundi,rn,1560,394,0,19275,4111,0,2015-11-02 00:01:03,Kirundi,0,Kirundi,7,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
175,Kikuyu,ki,1719,370,0,17614,3614,0,2015-11-02 00:03:04,Gĩkũyũ,0,Gĩgĩkũyũ,7,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
282,Pontic,pnt,1736,360,0,35007,5040,2,2015-11-02 00:03:38,Ποντιακά,6,Pontic_Greek,4,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
149,Bambara,bm,2962,354,0,36231,5875,1,2015-11-02 00:07:40,Bamanankan,1,Bamanankan,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
124,Inuktitut,iu,3675,337,0,37700,8970,1,2015-11-02 00:07:28,ᐃᓄᒃᑎᑐᑦ,4,ᐃᓄᒃᑎᑐᑦ/inuktitut,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
224,Ewe,ee,3509,317,0,47935,6434,1,2015-11-02 00:03:08,Eʋegbe,0,Eʋegbe,13,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
135,Sesotho,st,2804,292,0,18570,4804,0,2015-11-02 00:08:29,Sesotho,0,Sesotho,9,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
138,Tsonga,ts,1897,281,0,29251,4223,1,2015-11-02 00:08:33,Xitsonga,0,Xitsonga,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
85,Kashmiri,ks,2487,263,0,31184,4747,1,2015-11-02 00:09:10,कश्मीरी / كشميري,1,कॉशुर ज़बान,10,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
89,Fijian,fj,1689,258,0,33801,4359,0,2015-11-02 00:08:41,Na Vosa Vakaviti,0,,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
144,Akan,ak,1781,252,0,20391,5600,1,2015-11-02 00:08:16,Akana,0,Akan,12,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
198,Sango,sg,1468,241,2,20361,3374,0,2015-11-02 00:00:50,Sängö,0,,11,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
171,Inupiak,ik,2154,233,0,34511,4039,0,2015-11-02 00:02:58,Iñupiak,0,Iñupiak uqautchit,6,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
209,Venda,ve,1454,186,0,16956,3451,0,2015-11-02 00:01:38,Tshivenda,0,TshiVenḓa,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
161,Fula,ff,1602,179,0,21207,4096,0,2015-11-02 00:02:05,Fulfulde,1,Fulfulde,5,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
188,Chichewa,ny,1395,160,0,17075,3616,1,2015-11-02 00:01:53,Chi-Chewa,0,,6,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
202,Tigrinya,ti,1461,158,0,19552,4096,0,2015-11-02 00:01:21,ትግርኛ,1,ትግርኛ_ፊደል,6,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
154,Chamorro,ch,2327,157,0,17319,7848,0,2015-11-02 00:02:18,Chamoru,1,Fino' Chamoru,8,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
120,Dzongkha,dz,1498,157,0,27467,4818,0,2015-11-02 00:07:49,ཇོང་ཁ,2,རྫོང་ཁ་,6,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
205,Tumbuka,tum,1287,107,0,22673,3301,0,2015-11-02 00:01:59,chiTumbuka,0,ChiTumbuka,6,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
158,Cree,cr,2885,92,0,28764,7460,1,2015-11-02 00:02:26,Nehiyaw,2,,10,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
290,Ndonga,ng,442,8,0,6038,1746,0,2015-11-02 00:04:01,Oshiwambo,1,,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
155,Choctaw,cho,203,6,0,4177,1410,0,2015-11-02 00:02:20,Choctaw,2,Chahta_Anumpa,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
183,Marshallese,mh,207,4,0,4212,1740,0,2015-11-02 00:02:33,Ebon,2,Kajin_M̧ajeļ,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
225,Kuanyama,kj,113,4,0,3510,1138,0,2015-11-02 00:05:37,Kuanyama,0,,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
170,Sichuan Yi,ii,203,3,0,11610,1544,0,2015-11-02 00:02:56,ꆇꉙ,3,,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
165,Hiri Motu,ho,128,3,0,3735,1276,0,2015-11-02 00:01:47,Hiri Motu,0,,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
267,Afar,aa,1513,1,0,2722,3241,0,2015-11-02 00:03:31,Afar,0,,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
223,Muscogee,mus,114,1,0,3568,1627,0,2015-11-02 00:01:15,Muskogee,0,Mvskoke,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
168,Herero,hz,175,0,0,4431,3079,0,2015-11-02 00:02:28,Otsiherero,0,,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
176,Kanuri,kr,162,0,0,4563,4402,0,2015-11-02 00:03:06,Kanuri,0,,0,MediaWiki 1.20wmf12,,,,MediaWiki 1.26wmf7,,,,,,,,,,,,,,,,,,,,8,200,
